pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
9.95383,435.932,436.36954,0.29774,0.42558,0.01026
9.41185,712.356,726.30889,0.19478,0.18612,0.83775
7.99363,531.58,549.50484,0.37125,0.03476,0.58592
5.75065,739.364,748.80117,0.32391,0.35408,0.717
1.83241,774.756,798.68131,0.11435,0.40514,0.34915
2.25199,795.876,807.63068,0.31345,0.35366,0.42861
2.35333,496.876,501.95788,0.39258,0.3413,0.14996
3.08953,540.476,551.54423,0.30352,0.40356,0.46916
6.63373,640.5,674.20938,0.09799,0.16748,0.77132
1.31239,642.668,660.59384,0.24119,0.00484,0.80883
3.17287,770.276,782.72789,0.37929,0.14243,0.707
7.28533,486.78,494.79803,0.10396,0.0014,0.03422
4.26187,607.084,630.37587,0.16283,0.18697,0.73682
8.43463,559.284,606.02885,0.0877,0.21375,0.58035
1.92997,676.588,694.48972,0.1478,0.44362,0.63917
1.85275,727.916,742.37148,0.31696,0.10908,0.74157
1.59805,531.036,539.48779,0.3992,0.38278,0.37765
6.50431,799.5,812.32205,0.28437,0.3458,0.59949
7.06609,779.572,808.45188,0.15144,0.01015,0.78991
6.86557,665.908,678.5212,0.23155,0.09744,0.8568
6.14269,699.764,744.9191,0.05774,0.29468,0.72293
4.38985,608.532,626.98326,0.12509,0.49454,0.63112
4.01347,535.564,547.10089,0.33394,0.34382,0.48748
3.56491,416.548,416.67803,0.26162,0.0236,0.00125
4.60531,479.684,482.41986,0.12533,0.47478,0.03411
7.86313,570.964,587.48257,0.26882,0.15296,0.71653
9.68995,505.692,519.21243,0.21931,0.30098,0.23972
1.17343,791.876,836.98601,0.14067,0.01884,0.55667
4.47391,524.324,541.54259,0.3912,0.04612,0.48016
9.81685,588.164,599.60689,0.22972,0.42862,0.6981
2.91997,673.54,721.36814,0.05358,0.35432,0.6513
8.99155,703.652,727.97193,0.11567,0.17128,0.82117
7.39621,539.004,558.14535,0.27999,0.15322,0.57424
6.05395,764.652,780.84884,0.21797,0.28562,0.6984
5.58055,458.252,459.62926,0.30783,0.28952,0.02543
3.35377,526.684,544.03921,0.24553,0.24406,0.36645
2.93167,590.076,599.00532,0.36553,0.30199,0.73794
2.82205,578.244,597.90105,0.21221,0.23848,0.64862
8.38279,736.764,760.68854,0.12774,0.20779,0.7866
1.20133,520.436,532.58577,0.20944,0.22834,0.16322
7.43185,765.78,775.45365,0.36519,0.24065,0.75325
6.49117,586.716,599.80557,0.28817,0.19812,0.7525
6.31459,530.7,619.27146,0.05126,0.09291,0.52483
2.30041,560.34,575.60714,0.25792,0.31787,0.55666
5.74795,484.652,489.60492,0.15554,0.29491,0.05123
6.28237,778.644,816.61471,0.09382,0.26536,0.64089
6.38047,764.22,784.5366,0.14532,0.40823,0.60911
4.29949,434.404,434.77813,0.34047,0.20383,0.00632
4.60549,557.26,572.83044,0.35164,0.08432,0.67909
3.13867,704.54,718.07626,0.26387,0.11634,0.81086
4.99879,418.452,418.56995,0.06861,0.26225,0.00056
8.50105,743.636,753.0207,0.34695,0.11817,0.83532
8.35147,666.7,681.96424,0.16441,0.28121,0.81134
3.93049,766.804,805.32023,0.12167,0.05684,0.72671
9.02989,760.932,780.61795,0.18003,0.10722,0.80764
7.59763,670.66,677.83997,0.32404,0.25684,0.85045
8.67655,516.052,537.01492,0.24939,0.14526,0.38743
3.38725,646.892,655.36586,0.31699,0.25513,0.82159
3.33379,690.356,755.30573,0.05802,0.01533,0.77413
6.65893,564.836,578.61759,0.28281,0.27031,0.67093
7.59709,563.06,574.19684,0.27824,0.40246,0.63916
1.75501,564.156,605.12593,0.06438,0.37706,0.36935
8.76439,482.564,487.07873,0.24909,0.38696,0.08969
5.38435,760.988,776.63776,0.18052,0.45348,0.56465
2.39941,638.18,652.84883,0.26091,0.03247,0.82798
8.89363,753.868,763.13552,0.31745,0.35351,0.73384
3.66535,720.828,729.43696,0.39483,0.24717,0.76409
2.50615,654.004,682.69366,0.11445,0.21364,0.75387
9.10405,523.252,541.34484,0.14286,0.41828,0.30941
4.21075,512.572,521.72676,0.36192,0.34664,0.31306
9.63073,402.788,402.85075,0.22486,0.16606,0.00067
3.42451,513.452,532.23212,0.29007,0.04793,0.2912
2.48725,774.676,817.21154,0.11326,0.13824,0.60993
4.31461,489.164,494.58769,0.28817,0.29322,0.10308
8.28793,628.1,633.61522,0.36683,0.41392,0.81369
7.41781,481.06,484.9529,0.11282,0.38598,0.03639
7.92235,703.188,717.74045,0.19942,0.10268,0.8538
9.62479,749.932,757.06279,0.39861,0.35332,0.7529
7.62481,558.94,571.62519,0.26362,0.37432,0.62174
7.81849,766.708,780.54943,0.25565,0.22114,0.75684
3.73375,486.924,490.87406,0.10234,0.38172,0.03367
5.74867,406.508,406.58183,0.38588,0.21004,0.00141
4.35979,498.62,509.24332,0.23099,0.15098,0.13026
3.70207,687.228,696.97695,0.29406,0.26634,0.79886
1.97659,587.956,596.42094,0.38869,0.3261,0.71471
8.09857,551.508,560.98274,0.38298,0.329,0.65364
7.14763,670.412,679.41552,0.25073,0.34284,0.81745
8.66539,530.868,560.48592,0.04927,0.45512,0.2099
4.48093,566.588,576.9716,0.31579,0.37428,0.64992
8.80705,592.7,603.98082,0.24142,0.39484,0.71985
6.01165,743.604,802.84066,0.05133,0.25462,0.66187
1.47565,404.292,404.32779,0.12162,0.29924,0.00029
4.81915,692.724,699.33014,0.35901,0.44721,0.74096
6.69655,771.716,789.95989,0.17264,0.38076,0.62619
1.89235,410.828,410.88403,0.18636,0.45248,0.0009
8.32105,402.716,402.76416,0.05564,0.11126,0.00015
3.06739,574.268,594.81311,0.23438,0.14926,0.66926
6.82093,761.788,772.23082,0.37223,0.07428,0.81376
4.67803,606.692,641.40654,0.09471,0.28519,0.6722
4.20715,468.836,470.64635,0.31593,0.42738,0.04678
2.62423,686.692,727.27903,0.08039,0.22806,0.71719
8.92153,444.812,445.47445,0.08497,0.27344,0.00378
9.49195,643.852,651.18489,0.33438,0.22214,0.85316
7.44913,424.5,424.65454,0.04375,0.37608,0.00067
6.96961,620.396,648.20602,0.09151,0.40523,0.67244
9.92737,715.628,730.2178,0.1832,0.21437,0.82902
6.75433,572.636,583.85349,0.32079,0.27806,0.71193
2.02339,668.5,682.61592,0.17037,0.49183,0.63781
5.47453,705.692,716.21318,0.2531,0.3509,0.76673
7.48747,528.316,543.71801,0.22751,0.36293,0.42011
2.66635,750.596,778.66372,0.15233,0.19383,0.66354
9.80461,695.332,701.01418,0.367,0.40892,0.80898
3.52585,551.236,584.86372,0.0517,0.46778,0.27762
4.98709,640.188,653.37611,0.17566,0.42128,0.74939
8.38999,662.092,667.0912,0.39454,0.37696,0.83797
1.13545,783.82,795.70785,0.24383,0.3796,0.29385
8.12719,612.46,623.45622,0.26521,0.26954,0.79023
4.70881,598.796,621.15094,0.20409,0.05262,0.76525
8.31025,577.076,599.40888,0.19814,0.14554,0.71127
1.34821,463.9,464.80689,0.12377,0.34607,0.00818
6.28561,550.708,568.84489,0.26325,0.19796,0.61262
7.58791,459.204,460.69084,0.08629,0.17013,0.00711
5.34259,641.884,682.99027,0.09634,0.00554,0.7994
2.31391,774.684,830.5999,0.08013,0.16288,0.55159
4.93741,706.22,730.00757,0.10831,0.3957,0.69603
1.22491,519.892,530.62083,0.18131,0.2987,0.14138
8.60851,627.26,632.07273,0.37485,0.48622,0.80028
7.68223,529.02,545.43944,0.29663,0.22025,0.49938
3.58111,486.796,491.85895,0.31814,0.20984,0.08854
5.12191,736.316,747.18772,0.3213,0.18906,0.78576
7.46731,486.388,492.13354,0.12157,0.30238,0.04871
3.45781,448.34,448.9656,0.06374,0.11747,0.00215
9.79759,515.82,600.66593,0.0617,0.0425,0.50358
5.15971,441.884,442.47138,0.24733,0.20665,0.00743
5.30767,563.428,573.16333,0.38964,0.27555,0.69343
4.42981,646.62,673.85483,0.11647,0.20577,0.77175
4.73833,512.372,523.75194,0.28333,0.32146,0.28103
6.99517,524.804,549.99483,0.15592,0.2614,0.36616
8.51617,404.196,404.26543,0.25467,0.10496,0.00075
1.67113,756.492,774.8957,0.26416,0.18066,0.62623
9.04879,585.988,599.12118,0.29748,0.15006,0.77124
5.70457,595.132,604.88295,0.37297,0.14645,0.79864
1.36333,510.476,518.61735,0.17734,0.28918,0.09831
7.11037,405.508,405.57965,0.23238,0.1431,0.00076
3.45979,620.1,627.95194,0.32391,0.35844,0.78219
5.25835,712.796,721.27849,0.36932,0.14652,0.83373
9.35929,689.956,709.30764,0.13702,0.21048,0.82426
5.86675,764.828,780.17123,0.23604,0.26799,0.70671
8.93125,778.268,808.18888,0.11259,0.26765,0.69636
6.97465,592.596,602.78881,0.2555,0.42456,0.71215
4.19725,702.116,711.72216,0.34824,0.0376,0.85634
3.81871,702.22,712.0067,0.31545,0.24238,0.79243
1.20259,432.412,432.59672,0.16208,0.28886,0.00186
7.79545,727.292,751.8675,0.13783,0.01204,0.84552
4.43593,617.084,627.06845,0.30391,0.23443,0.80056
5.40289,460.7,462.39871,0.2947,0.1661,0.02385
7.66477,741.572,761.21762,0.14738,0.33176,0.72779
3.76885,596.484,636.88954,0.063,0.4186,0.54903
5.46499,710.444,722.21838,0.24123,0.29572,0.78057
4.71313,420.308,420.43422,0.13138,0.49212,0.00165
8.22907,547.892,560.15713,0.23706,0.45789,0.53555
4.99915,751.212,760.93338,0.33522,0.36628,0.66901
2.72593,769.932,787.99199,0.19074,0.37491,0.50054
6.57811,424.204,424.43498,0.3441,0.20248,0.00392
2.38303,759.988,787.22367,0.12022,0.36949,0.48342
3.52351,743.46,751.774,0.38619,0.40794,0.61527
2.10691,522.188,540.88582,0.13013,0.2563,0.1775
3.95803,403.26,403.31574,0.22466,0.03293,0.00047
7.96717,528.108,547.45848,0.25177,0.21195,0.47545
6.91291,618.804,651.36524,0.12923,0.02598,0.78691
9.34543,453.892,455.10994,0.18667,0.29835,0.01434
1.58779,513.108,521.90705,0.24225,0.31345,0.15811
2.62621,793.876,816.55315,0.2502,0.05828,0.66925
3.66553,561.94,583.49301,0.27594,0.03422,0.67029
8.08543,447.244,447.95595,0.26132,0.49049,0.01738
8.34661,779.14,791.4076,0.26183,0.37062,0.66051
5.55031,604.668,620.7045,0.18873,0.33094,0.72219
9.64189,722.292,740.68338,0.16806,0.03406,0.85986
8.73559,739.748,751.89789,0.26036,0.1356,0.83067
3.18223,615.908,649.23724,0.13727,0.02154,0.7658
4.61809,594.228,601.55922,0.32203,0.46756,0.71947
6.64093,486.916,492.57796,0.35142,0.27725,0.12927
2.21797,457.884,458.91867,0.15244,0.13468,0.00746
1.45549,790.644,804.33153,0.39103,0.17466,0.54139
9.86203,799.116,840.95934,0.09443,0.13599,0.72161
6.82741,677.308,703.1364,0.08674,0.41201,0.72581
4.33603,646.244,659.27398,0.26883,0.00148,0.85573
2.36683,601.852,623.87764,0.21717,0.05431,0.74955
9.62605,476.9,480.75955,0.09383,0.25855,0.02365
3.46033,458.316,459.48461,0.32869,0.3018,0.02345
7.17031,556.188,589.85774,0.08202,0.4113,0.45408
7.30243,550.804,569.02197,0.29557,0.10988,0.65282
4.47103,705.748,717.0707,0.30029,0.0237,0.85587
5.17843,554.004,567.80014,0.33936,0.19722,0.64761
2.99449,571.1,588.2522,0.30448,0.09244,0.69285
9.51967,694.276,702.04941,0.3429,0.03696,0.88985
6.46255,575.908,595.69993,0.12871,0.48007,0.55556
1.26073,758.18,768.84899,0.2999,0.40347,0.38755
1.50445,536.676,550.00442,0.31374,0.27399,0.38509
3.31489,547.612,563.97082,0.33197,0.14786,0.58681
7.17067,492.604,500.3029,0.05971,0.20904,0.03065
